cntr,ra,dec,cra,cdec,naxis1,naxis2,ctype1,ctype2,crpix1,crpix2,crval1,crval2,cdelt1,cdelt2,crota2,equinox,size,hdu
19,229.9696692,1.6971954,15h_19m_52.72s,+01d_41m_49.9s,512,1024,RA---SIN,DEC--SIN,256.5,512.5,229.9695302,1.6973343,-2.7777778450e-04,2.7777778450e-04,0.0008774,2000,2111040,0
20,230.089729,1.4825658,15h_20m_21.53s,+01d_28m_57.2s,512,1024,RA---SIN,DEC--SIN,256.5,512.5,230.0895901,1.4827047,-2.7777778450e-04,2.7777778450e-04,0.0050037,2000,2111040,0
21,230.0897056,1.7520102,15h_20m_21.53s,+01d_45m_07.2s,512,1024,RA---SIN,DEC--SIN,256.5,512.5,230.0895666,1.7521491,-2.7777778450e-04,2.7777778450e-04,0.0050043,2000,2111040,0
22,230.0896821,2.0214547,15h_20m_21.52s,+02d_01m_17.2s,512,1024,RA---SIN,DEC--SIN,256.5,512.5,230.0895431,2.0215935,-2.7777778450e-04,2.7777778450e-04,0.0050051,2000,2111040,0
23,230.0896585,2.2908991,15h_20m_21.52s,+02d_17m_27.2s,512,1024,RA---SIN,DEC--SIN,256.5,512.5,230.0895195,2.291038,-2.7777778450e-04,2.7777778450e-04,0.005006,2000,2111040,0
24,230.0896349,2.5603436,15h_20m_21.51s,+02d_33m_37.2s,512,1024,RA---SIN,DEC--SIN,256.5,512.5,230.0894959,2.5604824,-2.7777778450e-04,2.7777778450e-04,0.005007,2000,2111040,0
28,229.1268896,1.4827108,15h_16m_30.45s,+01d_28m_57.8s,512,1024,RA---SIN,DEC--SIN,256.5,512.5,229.1267507,1.4828497,-2.7777778450e-04,2.7777778450e-04,0.0037863,2000,2111040,0
29,229.1268719,1.7521552,15h_16m_30.45s,+01d_45m_07.8s,512,1024,RA---SIN,DEC--SIN,256.5,512.5,229.1267329,1.7522941,-2.7777778450e-04,2.7777778450e-04,0.0037868,2000,2111040,0
30,229.1268541,2.0215997,15h_16m_30.44s,+02d_01m_17.8s,512,1024,RA---SIN,DEC--SIN,256.5,512.5,229.1267151,2.0217386,-2.7777778450e-04,2.7777778450e-04,0.0037874,2000,2111040,0
31,229.1268363,2.2910441,15h_16m_30.44s,+02d_17m_27.8s,512,1024,RA---SIN,DEC--SIN,256.5,512.5,229.1266973,2.291183,-2.7777778450e-04,2.7777778450e-04,0.003788,2000,2111040,0
32,229.1268184,2.5604886,15h_16m_30.44s,+02d_33m_37.8s,512,1024,RA---SIN,DEC--SIN,256.5,512.5,229.1266794,2.5606274,-2.7777778450e-04,2.7777778450e-04,0.0037888,2000,2111040,0
